-29.202123		-0.668535		-0.000342		-0.268686		0.068183		-0.159632		-0.790652		-0.148530		0.029063		-0.154936		-0.108385		0.156838		-0.106737
-29.626978		-0.883755		-0.042448		-0.331747		-0.251521		-0.290240		-0.084626		0.661945		0.192245		-0.895333		-0.743792		-0.109076		-0.021861
-29.418400		-0.429652		0.156777		-0.625724		-0.412432		0.135370		0.066352		0.328378		-0.106609		-0.386761		-0.070203		0.195209		-0.102928
-29.388609		-0.605893		-0.039860		-0.270837		-0.389536		-0.454068		-0.367000		0.142863		-0.166456		-0.418434		0.099150		0.392882		-0.032114
-29.881904		-0.440121		-0.099283		-0.459843		-0.591432		-0.334202		-0.193095		0.244444		0.306495		-0.218480		0.057765		0.153323		-0.434443
-30.650766		-0.703738		-0.157170		-0.048237		-0.511115		-0.591721		-0.138168		0.506833		0.675583		-0.481878		-0.171207		-0.062208		-0.063884
-31.016399		-0.947075		-0.107882		-0.733777		-0.740311		-0.665086		-0.156236		0.330242		0.040358		0.114803		0.257247		0.253510		-0.059884
-32.002730		-1.420059		0.062071		-0.741636		-0.563071		-0.575355		-0.275831		0.033108		-0.016830		-0.035302		0.157192		-0.279502		-0.061635
-31.851404		-1.179269		0.274726		-0.578418		-0.302680		-0.089680		0.047397		0.248825		0.000001		-0.280647		-0.267291		-0.113061		0.147331
-32.334969		-1.883787		-0.328377		-0.303399		-0.227449		-0.154807		0.531332		0.267136		0.303440		0.337378		0.020546		-0.209585		-0.082020
-32.544427		-2.156779		-0.606272		-0.729469		-0.097939		-0.025648		0.098055		-0.270358		-0.013327		-0.155557		0.039919		-0.062615		-0.403231
-32.270022		-1.202985		0.124060		-0.462345		-0.095265		0.258478		0.038400		-0.036617		0.140903		-0.014084		-0.161215		0.061189		0.020473
-29.603092		-0.434073		0.153503		-1.074682		-1.004182		-0.268201		-0.391979		-0.212093		-0.533110		-0.148676		-0.018884		0.166208		0.438711
-26.672944		-1.583867		0.193628		-0.657622		-0.625350		-0.054181		-0.573478		-0.092310		-0.464926		-0.137574		0.226298		0.241225		0.222546
-24.495282		-1.857012		0.304549		-0.461239		-0.288845		0.217876		-0.471057		-0.039351		-0.563116		0.095762		-0.109429		-0.117802		-0.358903
